business_name,address,phone,category,place_id,rating,review_count,photo_1,photo_2,photo_3,reviews_json,hours_json,price_level,google_maps_url,lat,lng,notes
Pete's Auto Repair & Diesel,"46 E 500 N, Tooele, UT 84074, USA",(435) 882-4014,auto repair,web-tooele-pete-s-auto-repair-diesel,4.1,84,,,,"[{""author"":""Jolene"",""rating"":5,""text"":""Best in town. Pete cares"",""time"":""""},{""author"":""Heidi"",""rating"":5,""text"":""They took responsibility for and corrected an error with my vehicle...no trying to get out of it"",""time"":""""},{""author"":""Sandy"",""rating"":5,""text"":""Honest, reliable and great bunch of people!"",""time"":""""}]","[""Monday: 8:30 AM – 6:00 PM"",""Tuesday: 8:30 AM – 6:00 PM"",""Wednesday: 8:30 AM – 6:00 PM"",""Thursday: 8:30 AM – 6:00 PM"",""Friday: 8:30 AM – 6:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",,,,,Only FB/Yelp/YP/BBB listings; no owned domain.
Cruz Auto,"89 N Garden St, Tooele, UT 84074, USA",(435) 882-8584,auto repair,web-tooele-cruz-auto,4.7,36,,,,"[{""author"":""Mossscar"",""rating"":5,""text"":""Quick efficient and very helpful"",""time"":""""},{""author"":""Jared"",""rating"":5,""text"":""By far the best mechanic I've ever dealt with...The service was fast, the price was unbelievable"",""time"":""""}]","[""Monday: 8:00 AM – 5:00 PM"",""Tuesday: 8:00 AM – 5:00 PM"",""Wednesday: 8:00 AM – 5:00 PM"",""Thursday: 8:00 AM – 5:00 PM"",""Friday: 8:00 AM – 5:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",,,,,"VERIFY FIRST: Birdeye says permanently closed, BBB and Yelp (June 2026) say open. Confirm they are open before pitching. Re-verified no website 2026-08-08."
Five Star Auto,"53 N Hale St, Grantsville, UT 84029, USA",(435) 884-3573,auto repair,web-tooele-five-star-auto,4.9,241,,,,"[{""author"":""Jake"",""rating"":5,""text"":""Dominic is the man. if I cant fix it. I know he can! boats, cars, lawnmowers anything."",""time"":""""},{""author"":""EJ"",""rating"":5,""text"":""They're the best to work with! Fast, friendly and efficient. They're local and really care about their customers."",""time"":""""},{""author"":""Tori"",""rating"":5,""text"":""100% worth the couple minutes extra drive from Sandy to Grantsville....the money you save because it's done right the first time is worth its weight in gold!"",""time"":""""}]","[""Monday: 9:00 AM – 5:00 PM"",""Tuesday: 9:00 AM – 5:00 PM"",""Wednesday: 9:00 AM – 5:00 PM"",""Thursday: 9:00 AM – 5:00 PM"",""Friday: 9:00 AM – 5:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",,,,,In business since 1999. Re-verified 2026-08-08: no site on BBB or MechanicAdvisor. Possible second location at 54 E Main St.
Dakota Towing,"11 N 1100 W, Tooele, UT 84074, USA",(435) 228-8156,towing,web-tooele-dakota-towing,,27,,,,"[{""author"":""Customer"",""rating"":5,""text"":""Over and beyond should be the name"",""time"":""""}]","[""Monday-Sunday: Open 24 hours""]",,,,,Facebook 98% recommend. 24-hour service.
Affordable Lawn Care of Tooele LLC,"1010 W Vine St, Tooele, UT 84074, USA",(435) 882-3990,landscaping,web-tooele-affordable-lawn-care-of-tooele-llc,4.3,,,,,,,,,,,Serving Tooele County since 1999. Address differs across directories (10 vs 1010 W Vine St) - confirm on call.
Baxter Tree Service,"364 S 100 W, Tooele, UT 84074, USA",(801) 830-0483,tree service,web-tooele-baxter-tree-service,,11,,,,,,,,,,In business since 1996. Facebook 100% recommend.
True Clean Carpet Cleaning LLC,"Tooele, UT 84074, USA",(385) 787-9963,carpet cleaning,web-tooele-true-clean-carpet-cleaning-llc,,9,,,,"[{""author"":""Customer"",""rating"":5,""text"":""Candace did an AMAZING job on our carpets, they went from dead to alive looking brand new."",""time"":""""},{""author"":""Customer"",""rating"":5,""text"":""Candace was very responsive and prompt. I would highly recommend her anytime."",""time"":""""}]",,,,,,"Woman-owned solo operator (Candace). Mobile service, no storefront."
Tooele Valley House Cleaning,"Tooele, UT, USA",(208) 680-5037,house cleaning,web-tooele-tooele-valley-house-cleaning,,,,,,,,,,,,Facebook page only.
Stay Classic Barbershop,"18 N Main St, Tooele, UT 84074, USA",(435) 850-1496,barber shop,web-tooele-stay-classic-barbershop,,104,,,,,"[""Tuesday: 10:00 AM – 6:00 PM"",""Wednesday: 10:00 AM – 8:00 PM"",""Thursday: 10:00 AM – 8:00 PM"",""Friday: 10:00 AM – 6:00 PM"",""Saturday: 9:00 AM – 3:00 PM"",""Sunday: Closed"",""Monday: Closed""]",,,,,ANGLE: their old site stayclassicbarbershop.com is DEAD (does not load) and they only book through Square. Say: your old website does not even come up anymore.
Niemi's Barbershop,"85 N Main St, Tooele, UT 84074, USA",(435) 249-7256,barber shop,web-tooele-niemi-s-barbershop,,,,,,,"[""Tuesday: 9:30 AM – 7:00 PM"",""Wednesday: 9:30 AM – 7:00 PM"",""Thursday: 9:30 AM – 7:00 PM"",""Friday: 9:30 AM – 7:00 PM"",""Saturday: 9:30 AM – 7:00 PM"",""Sunday: Closed"",""Monday: Closed""]",,,,,"Historic Main Street shop, open since 2011. Barely any web presence at all."
